Date,Open,High,Low,Close,Adj Close,Volume
2022-01-07,1.911453,1.993294,1.736058,1.881326,1.881326,4051478
2022-01-08,1.881488,1.973196,1.706441,1.794831,1.794831,1980558
2022-01-09,1.794865,1.867558,1.703330,1.804703,1.804703,1129307
2022-01-10,1.804644,1.876690,1.658763,1.753940,1.753940,1117237
2022-01-11,1.753867,1.805543,1.562067,1.681918,1.681918,2567070
2022-01-12,1.682158,1.865653,1.469555,1.836008,1.836008,4850386
2022-01-13,1.835909,1.923328,1.635314,1.755605,1.755605,1379605
2022-01-14,1.755906,1.924694,1.688984,1.839998,1.839998,1634865
2022-01-15,1.840091,2.142725,1.836242,2.139365,2.139365,1326444
2022-01-16,2.139100,2.168603,1.579602,1.749225,1.749225,5405163
2022-01-17,1.749391,1.920026,1.691145,1.770535,1.770535,2492038
2022-01-18,1.770515,1.867447,1.702647,1.725835,1.725835,858217
2022-01-19,1.725770,1.825724,1.587988,1.689300,1.689300,1945989
2022-01-20,1.689288,1.788337,1.592769,1.621764,1.621764,610437
2022-01-21,1.622523,1.665393,1.316547,1.414251,1.414251,2251370
2022-01-22,1.358249,1.479529,1.162951,1.223114,1.223114,3368370
2022-01-23,1.223712,1.420607,1.195960,1.322114,1.322114,1197739
2022-01-24,1.322075,1.389739,1.202867,1.384452,1.384452,496751
2022-01-25,1.384470,1.445287,1.293887,1.426580,1.426580,608731
2022-01-26,1.426445,1.482139,1.290740,1.363478,1.363478,923950
2022-01-27,1.363095,1.508813,1.269835,1.508403,1.508403,1353988
2022-01-28,1.508005,1.659644,1.412968,1.624986,1.624986,1470649
2022-01-29,1.624830,1.658993,1.502631,1.610342,1.610342,316942
2022-01-30,1.610922,1.735098,1.542397,1.653084,1.653084,810748
2022-01-31,1.653200,1.761383,1.575252,1.666686,1.666686,1312356
2022-02-01,1.666626,1.731058,1.467900,1.634952,1.634952,1420492
2022-02-02,1.634970,1.638605,1.438204,1.464379,1.464379,707725
2022-02-03,1.464055,1.562187,1.420088,1.562187,1.562187,868782
2022-02-04,1.561962,2.146594,1.561962,1.917576,1.917576,3872069
2022-02-05,1.917605,2.509670,1.785593,2.071592,2.071592,5884637
2022-02-06,2.071590,2.521488,1.947808,2.347186,2.347186,4163425
2022-02-07,2.346874,2.558418,2.023277,2.413941,2.413941,4237114
